player,source,clip_rank,recommended_use,category,replay_url,hero_cards,board,opponent,result,style_score,drama_score,commentary_score,highlight,why_style,commentary_hook,action_line
TheAAI / AlphaHorizon,Tournament S5,1,Primary,Trap / check-raise,https://arena.dev.fun/poker-tournament/table/cmr9rmhsi50wk5mev73fcxxlf,7c 8c,4s 5d As 6d Qh,Finndefi90,545,100,94,100,7c 8c versus Finndefi90 on 4s 5d As 6d Qh: wins +545; a check-raise changes the direction of the hand.,"Delayed aggression is the story: the bot gives the opponent room, then takes control with a raise.",Built-in rivalry: AlphaHorizon versus finalist Thaddius. Pause before the decisive action and let commentary pick a side.,"P V:fold, V:fold, H:raise 20, V:call 20, V:fold, V:call 10 | F V:check, H:bet 50, V:call 50, V:fold | T H:check, V:bet 124, H:raise 450, V:call 326 | R H:bet 5848, V:fold"
TheAAI / AlphaHorizon,Tournament S5,2,Primary,Pressure win,https://arena.dev.fun/poker-tournament/table/cmr7burfsgpkd5mevktdcpu3b,Kd Jd,8d Qc Qd Td 7h,calmyxbt #7,125,90,79,75,Kd Jd versus calmyxbt #7 on 8d Qc Qd Td 7h: wins +125; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:fold, V:fold, V:fold, H:raise 25, V:fold, V:call 15 | F V:bet 18, H:raise 50, V:call 32 | T V:check, H:bet 45, V:call 45 | R V:check, H:bet 15965, V:fold"
TheAAI / AlphaHorizon,Tournament S5,3,Primary,Downside review,https://arena.dev.fun/poker-tournament/table/cmrcf1uhdzrty6xlygyw0dqah,Ts Jc,9c Js Kh Jh Th,Stariy physe,-12163,77,98,92,"Ts Jc versus Stariy physe on 9c Js Kh Jh Th: loses 12,163; the multi-street line exposes the bot's commitment threshold.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: AlphaHorizon versus finalist Stariy physe. Pause before the decisive action and let commentary pick a side.,"P V:fold, H:raise 20, V:raise 85, V:fold, H:call 65 | F V:check, H:bet 50, V:raise 414, H:call 364 | T V:bet 635, H:call 635 | R V:bet 2506, H:raise 13046, V:call 10540"
TheAAI / AlphaHorizon,Tournament S5,4,Secondary,Trap / check-raise,https://arena.dev.fun/poker-tournament/table/cmr6slni2j3in5mev492krvxr,Jh Jc,Js Ah 7d 8s Jd,StartupBros,6200,100,90,96,"Jh Jc versus StartupBros on Js Ah 7d 8s Jd: wins +6,200; a check-raise changes the direction of the hand.","Delayed aggression is the story: the bot gives the opponent room, then takes control with a raise.","Reveal the initial check first, then pause before the raise so the trap is understandable on screen.","P H:raise 25, V:fold, V:fold, V:call 25, V:fold, V:call 15 | F V:check, H:check, V:bet 23, V:fold, H:raise 75, V:call 52 | T H:check, V:bet 152, H:raise 550, V:call 398 | R H:check, V:bet 1018, H:raise 5520, V:call 4502"
TheAAI / AlphaHorizon,Tournament S5,5,Secondary,Trap / check-raise,https://arena.dev.fun/poker-tournament/table/cmr7wfmk7vy0b5mevyozyhhis,Jh 9d,7d Tc 8s 4h 7c,zierra,1361,92,100,90,"Jh 9d versus zierra on 7d Tc 8s 4h 7c: wins +1,361; a check-raise changes the direction of the hand.","Delayed aggression is the story: the bot gives the opponent room, then takes control with a raise.",Built-in rivalry: AlphaHorizon versus finalist Stariy physe. Pause before the decisive action and let commentary pick a side.,"P V:fold, V:fold, V:raise 25, V:fold, V:fold, H:call 15 | F H:check, V:bet 24, H:raise 100, V:call 76 | T H:check, V:check | R H:check, V:bet 280, H:raise 15671, V:call 15391"
TheAAI / AlphaHorizon,Tournament S5,6,Secondary,Pressure win,https://arena.dev.fun/poker-tournament/table/cmr7js9ep3t0g5mev275peata,Ad Td,Ts Kh 9c 8d 8c,SixSeven,565,90,75,75,Ad Td versus SixSeven on Ts Kh 9c 8d 8c: wins +565; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:fold, V:raise 25, V:fold, V:call 25, H:raise 150, V:fold, V:fold, V:call 125 | F H:bet 80, V:call 80 | T H:bet 300, V:call 300 | R H:bet 10874, V:fold"
TheAAI / AlphaHorizon,Tournament S5,7,Backup,Multi-street attack,https://arena.dev.fun/poker-tournament/table/cmr6ivrvin6ty5mev4wn7h3th,Kh Kd,Tc 6d Ks 8d Ah,Phantom Stack,2285,90,71,75,"Kh Kd versus Phantom Stack on Tc 6d Ks 8d Ah: wins +2,285; the multi-street line exposes the bot's commitment threshold.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:call 10, V:fold, V:fold, H:raise 40, V:fold, V:fold, V:call 30 | F V:check, H:bet 100, V:call 100 | T V:bet 178, H:raise 650, V:call 472 | R V:bet 446, H:raise 7434, V:call 6988"
TheAAI / AlphaHorizon,Tournament S5,8,Backup,Downside review,https://arena.dev.fun/poker-tournament/table/cmr9ega8s69l85mevv4ekfesc,Js Kd,Ts 9c Ah Td,Sam,-101,35,92,56,Js Kd versus Sam on Ts 9c Ah Td: loses 101; the multi-street line exposes the bot's commitment threshold.,This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: AlphaHorizon versus finalist Thaddius. Pause before the decisive action and let commentary pick a side.,"P H:raise 20, V:call 20, V:fold, V:fold, V:fold, V:call 10 | F V:bet 21, H:call 21, V:call 21 | T V:check, H:bet 60, V:raise 76514, V:fold, H:fold"
TheAAI / AlphaHorizon,Tournament S5,9,Backup,River decision,https://arena.dev.fun/poker-tournament/table/cmr6oygjxtfj95mevbzgfg58c,As Ad,9c 9s 7s 7d 4h,Kav,141,48,88,33,As Ad versus Kav on 9c 9s 7s 7d 4h: wins +141; sustained pressure wins without showdown.,"The river creates a single, legible decision point that viewers can debate before the action is revealed.",Built-in rivalry: AlphaHorizon versus finalist Thaddius. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, V:fold, V:raise 96, H:call 96, V:fold, V:fold, V:fold | F V:check, H:check | T V:check, H:check | R V:check, H:bet 8037, V:fold"
TheAAI / AlphaHorizon,Tournament S5,10,Backup,Value escalation,https://arena.dev.fun/poker-tournament/table/cmrc8kqm0lcku1a2a1k9bz2ke,7d Ad,Td Qd 3d Ah 4h,Crimson Range,3208,23,38,75,"7d Ad versus Crimson Range on Td Qd 3d Ah 4h: wins +3,208; the runout produces flush.","The pot grows in stages rather than all at once, showing how the bot converts made-hand strength into chips.",Built-in rivalry: AlphaHorizon versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, V:fold, H:call 30, V:fold, V:call 20 | F V:check, V:bet 52, H:call 52, V:call 52 | T V:bet 188, V:fold, H:raise 550, V:raise 3039, H:call 2489"
Thaddius / Field,Heads-Up Ladder,1,Primary,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmr6dbuujkglj5mev4elp53di,Qh 8d,8s Qs 9d 9h Td,Antge Poker Bot,453,100,100,94,Qh 8d versus Antge Poker Bot on 8s Qs 9d 9h Td: wins +453; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Built-in rivalry: Thaddius versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:check, H:bet 45, V:call 45 | T V:bet 42, H:raise 216, V:call 174 | R V:bet 162, H:raise 709, V:fold"
Thaddius / Field,Heads-Up Ladder,2,Primary,Trap / check-raise,https://arena.dev.fun/headsup-ladder/table/cmrdivke1ayas6xlyp5v0y5gm,3d Kd,Jh 9c Ts Ad,Blacksite,458,86,65,80,3d Kd versus Blacksite on Jh 9c Ts Ad: wins +458; a check-raise changes the direction of the hand.,"Delayed aggression is the story: the bot gives the opponent room, then takes control with a raise.","Reveal the initial check first, then pause before the raise so the trap is understandable on screen.","P V:call 5, H:check | F H:check, V:bet 12, H:raise 47, V:raise 166, H:raise 448, V:call 282 | T H:bet 542, V:fold"
Thaddius / Field,Heads-Up Ladder,3,Primary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrltkd8ek7unst8nxdrqg82u,Kc Qd,Kh Qs Tc 2s Th,zierra,-1000,88,94,100,"Kc Qd versus zierra on Kh Qs Tc 2s Th: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Ask where the line should have stopped; the loss gives commentators something concrete to criticize rather than only celebrate.,"P V:call 5, H:raise 40, V:call 30 | F H:bet 66, V:call 66 | T H:bet 166, V:call 166 | R H:bet 379, V:raise 728, H:call 349"
Thaddius / Field,Heads-Up Ladder,4,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrhtjyvhh2wust8ncpuploed,Th Ac,Ts 8c 3d Td 3c,Night Owl,1000,86,94,100,"Th Ac versus Night Owl on Ts 8c 3d Td 3c: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P V:raise 25, H:call 15 | F H:bet 30, V:call 30 | T H:bet 74, V:call 74 | R H:bet 177, V:raise 871, H:call 694"
Thaddius / Field,Heads-Up Ladder,5,Secondary,Wide-range win,https://arena.dev.fun/headsup-ladder/table/cmr3r5c8702db9ta4f27fgbqq,8c Ts,Qs Td Qc Tc 9c,Junglist Soldier,392,86,96,94,8c Ts versus Junglist Soldier on Qs Td Qc Tc 9c: wins +392; the wide starting hand makes the line especially revealing.,The starting cards make the range width visible and show how the bot creates value from hands others may discard.,Built-in rivalry: Thaddius versus finalist Junglist Soldier. Pause before the decisive action and let commentary pick a side.,"P V:raise 25, H:call 15 | F H:bet 38, V:call 38 | T H:bet 96, V:call 96 | R H:bet 233, V:call 233"
Thaddius / Field,Heads-Up Ladder,6,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrkm4gcqmazcst8nbjzdzonf,Kc Qs,Ks 9d Ad 5c Kd,Vareta,1000,86,94,96,"Kc Qs versus Vareta on Ks 9d Ad 5c Kd: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P V:call 5, H:raise 40, V:call 30 | F H:check, V:bet 48, H:call 48 | T H:bet 123, V:call 123 | R H:bet 316, V:raise 789, H:call 473"
Thaddius / Field,Heads-Up Ladder,7,Backup,Wide-range win,https://arena.dev.fun/headsup-ladder/table/cmr5nldevperi5mev5qvfdymu,7c Th,9s 2d Ts Tc 3s,Grinder,493,86,98,86,7c Th versus Grinder on 9s 2d Ts Tc 3s: wins +493; the wide starting hand makes the line especially revealing.,The starting cards make the range width visible and show how the bot creates value from hands others may discard.,Built-in rivalry: Thaddius versus finalist Grinder. Pause before the decisive action and let commentary pick a side.,"P V:raise 35, H:call 25 | F H:bet 50, V:call 50 | T H:bet 120, V:call 120 | R H:bet 288, V:call 288"
Thaddius / Field,Heads-Up Ladder,8,Backup,Bluff-catch,https://arena.dev.fun/headsup-ladder/table/cmrkw7wt5bvyxst8n6c684zow,8s Js,8c 4d Jd Ad Qs,QuantArmy-7,1000,86,94,86,"8s Js versus QuantArmy-7 on 8c 4d Jd Ad Qs: wins +1,000; the river call creates a clean bluff-catching decision.",The hand exposes its calling threshold and willingness to let the opponent keep representing strength.,Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P H:raise 30, V:call 20 | F V:bet 30, H:raise 114, V:call 84 | T V:bet 207, H:raise 740, V:call 533 | R V:bet 116, H:call 116"
Thaddius / Field,Heads-Up Ladder,9,Backup,Downside review,https://arena.dev.fun/headsup-ladder/table/cmri70zvrpmz9st8n9u97psbi,Kh Jd,Kd 8h 9s Jh Qs,eksekutor,-1000,53,94,94,"Kh Jd versus eksekutor on Kd 8h 9s Jh Qs: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Ask where the line should have stopped; the loss gives commentators something concrete to criticize rather than only celebrate.,"P H:raise 30, V:call 20 | F V:bet 33, H:call 33 | T V:check, H:bet 96, V:call 96 | R V:bet 238, H:raise 829, V:raise 841, H:call 12"
Thaddius / Field,Heads-Up Ladder,10,Backup,Value escalation,https://arena.dev.fun/headsup-ladder/table/cmrl0wf36k53tst8nb7aktk3x,Kh Ad,9h Jd Qh Th Jc,Vareta,1000,49,53,78,"Kh Ad versus Vareta on 9h Jd Qh Th Jc: wins +1,000; the runout produces straight.","The pot grows in stages rather than all at once, showing how the bot converts made-hand strength into chips.","Use the street-by-street line to ask whether the next action should be aggression, control, or release.","P V:call 5, H:raise 40, V:call 30 | F H:check, V:check | T H:bet 65, V:raise 307, H:raise 874, V:raise 960, H:call 86"
Junglist Soldier,Heads-Up Ladder,1,Primary,Bluff-catch,https://arena.dev.fun/headsup-ladder/table/cmriulq503tesst8ngfyjbnyz,3c 8h,Ah 7s 4h 2h 2d,KumaZero,684,96,57,63,3c 8h versus KumaZero on Ah 7s 4h 2h 2d: wins +684; the river call creates a clean bluff-catching decision.,The hand exposes its calling threshold and willingness to let the opponent keep representing strength.,Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P H:raise 38, V:call 28 | F V:bet 38, H:call 38 | T V:bet 152, H:call 152 | R V:bet 456, H:call 456"
Junglist Soldier,Heads-Up Ladder,2,Primary,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmr3swgcsfttl9ta4hlmb9dfq,Ad 8d,Td Kd Jh 8h 9c,Thaddius,614,78,96,94,Ad 8d versus Thaddius on Td Kd Jh 8h 9c: wins +614; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Built-in rivalry: Junglist Soldier versus finalist Thaddius. Pause before the decisive action and let commentary pick a side.,"P H:raise 25, V:raise 100, H:call 75 | F V:bet 163, H:call 163 | T V:bet 351, H:call 351 | R V:check, H:bet 386, V:fold"
Junglist Soldier,Heads-Up Ladder,3,Primary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrlaj0i76f7xst8ng9ng6b0n,9s Ts,7h Jd Qc Th Kd,Night Owl,-1000,96,94,63,"9s Ts versus Night Owl on 7h Jd Qc Th Kd: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Ask where the line should have stopped; the loss gives commentators something concrete to criticize rather than only celebrate.,"P H:call 5, V:check | F V:check, H:bet 13, V:call 13 | T V:bet 46, H:call 46 | R V:bet 931, H:call 931"
Junglist Soldier,Heads-Up Ladder,4,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrk4vf6ih0zlst8naf1rcmjs,7s Ac,2c 2s 2h Ah 9d,John Juanda,1000,98,94,94,"7s Ac versus John Juanda on 2c 2s 2h Ah 9d: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P H:call 5, V:raise 40, H:call 30 | F V:bet 40, H:raise 360, V:call 320 | T V:bet 480, H:call 480 | R V:bet 120, H:call 120"
Junglist Soldier,Heads-Up Ladder,5,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrk61k0it24xst8nnr4pvsvb,9s 8c,7s Tc Ks 6h Td,John Juanda,1000,82,94,94,"9s 8c versus John Juanda on 7s Tc Ks 6h Td: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P H:raise 38, V:call 28 | F V:bet 38, H:call 38 | T V:bet 152, H:raise 370, V:call 218 | R V:bet 554, H:call 554"
Junglist Soldier,Heads-Up Ladder,6,Secondary,Trap / check-raise,https://arena.dev.fun/headsup-ladder/table/cmrl0c9etf15sst8nulg1t4by,Ac 9h,9d 4d 5h Ah 6c,Skyler,1000,78,100,88,"Ac 9h versus Skyler on 9d 4d 5h Ah 6c: wins +1,000; a check-raise changes the direction of the hand.","Delayed aggression is the story: the bot gives the opponent room, then takes control with a raise.","Reveal the initial check first, then pause before the raise so the trap is understandable on screen.","P V:raise 30, H:call 20 | F H:check, V:bet 30, H:call 30 | T H:check, V:bet 120, H:raise 720, V:call 600 | R H:bet 220, V:call 220"
Junglist Soldier,Heads-Up Ladder,7,Backup,River decision,https://arena.dev.fun/headsup-ladder/table/cmrkceqfip87dst8nt7zydcct,Ts Qs,6c 9c 7h 8d 5s,Skyler,1000,92,94,63,"Ts Qs versus Skyler on 6c 9c 7h 8d 5s: wins +1,000; the runout produces straight.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P H:call 5, V:raise 40, H:call 30 | F V:bet 40, H:call 40 | T V:bet 128, H:call 128 | R V:bet 416, H:raise 792, V:call 376"
Junglist Soldier,Heads-Up Ladder,8,Backup,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmr97avg30rz35mevrtxtq9w1,8s Th,6c 9c 3d 8d Ts,Stariy physe,750,57,98,100,8s Th versus Stariy physe on 6c 9c 3d 8d Ts: wins +750; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Built-in rivalry: Junglist Soldier versus finalist Stariy physe. Pause before the decisive action and let commentary pick a side.,"P H:call 5, V:raise 40, H:call 30 | F V:bet 53, H:raise 133, V:call 80 | T V:bet 231, H:raise 577, V:call 346 | R V:check, H:bet 250, V:fold"
Junglist Soldier,Heads-Up Ladder,9,Backup,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrii3v164tz5st8n7tv76tg0,3h Ac,9d Ah Td Jh Ad,Neo Alpha,-1000,92,94,35,"3h Ac versus Neo Alpha on 9d Ah Td Jh Ad: loses 1,000; the multi-street line exposes the bot's commitment threshold.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Ask where the line should have stopped; the loss gives commentators something concrete to criticize rather than only celebrate.,"P H:call 5, V:raise 40, H:call 30 | F V:bet 40, H:call 40 | T V:bet 160, H:call 160 | R V:bet 480, H:raise 760, V:call 280"
Junglist Soldier,Heads-Up Ladder,10,Backup,Value escalation,https://arena.dev.fun/headsup-ladder/table/cmrj3cbi0vr5qst8niubc89is,Qh Kd,Jd Tc Qc 8d Qs,RAB,1000,57,37,35,"Qh Kd versus RAB on Jd Tc Qc 8d Qs: wins +1,000; the multi-street line exposes the bot's commitment threshold.","The pot grows in stages rather than all at once, showing how the bot converts made-hand strength into chips.","Use the street-by-street line to ask whether the next action should be aggression, control, or release.","P H:call 5, V:check | F V:bet 13, H:raise 83, V:raise 182, H:raise 713, V:raise 990, H:call 277"
Stariy physe,Heads-Up Ladder,1,Primary,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmrkpn6iyl6jpst8nld9zvlx4,7s 6c,8c Ts Tc 7d 2h,High Roller,905,100,71,83,7s 6c versus High Roller on 8c Ts Tc 7d 2h: wins +905; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P H:raise 30, V:raise 90, H:call 60 | F V:check, H:bet 90, V:call 90 | T V:bet 198, H:raise 725, V:call 527 | R V:check, H:bet 95, V:fold"
Stariy physe,Heads-Up Ladder,2,Primary,Multi-street attack,https://arena.dev.fun/headsup-ladder/table/cmrlcmqurqphpst8nnudk7in1,8h Jh,4h 8s Jd 3h 2d,Reaper,1000,85,100,83,"8h Jh versus Reaper on 4h 8s Jd 3h 2d: wins +1,000; the multi-street line exposes the bot's commitment threshold.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:call 5, H:raise 30, V:call 20 | F H:bet 30, V:call 30 | T H:bet 120, V:raise 540, H:call 420 | R H:bet 400, V:call 400"
Stariy physe,Heads-Up Ladder,3,Primary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrld9s80wmtxst8nwyg2v7ex,Ah Qs,3h 7h Qh Td 7d,Reaper,-1000,85,100,98,"Ah Qs versus Reaper on 3h 7h Qh Td 7d: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Ask where the line should have stopped; the loss gives commentators something concrete to criticize rather than only celebrate.,"P V:call 5, H:raise 30, V:call 20 | F H:bet 30, V:call 30 | T H:bet 120, V:call 120 | R H:bet 360, V:raise 820, H:call 460"
Stariy physe,Heads-Up Ladder,4,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrkk0prm0583st8n03bjj11c,Ah Jc,Qd Kd 5c 2c Th,dre4mboat,1000,85,100,100,"Ah Jc versus dre4mboat on Qd Kd 5c 2c Th: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P V:call 5, H:raise 30, V:call 20 | F H:bet 30, V:call 30 | T H:bet 96, V:call 96 | R H:bet 312, V:raise 844, H:call 532"
Stariy physe,Heads-Up Ladder,5,Secondary,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmrkqkjhhtwkmst8n2gdxms79,8d 4s,3d 7d 8s 6c 3h,High Roller,600,100,62,83,8d 4s versus High Roller on 3d 7d 8s 6c 3h: wins +600; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:call 5, H:raise 30, V:call 20 | F H:bet 30, V:call 30 | T H:bet 120, V:raise 540, H:call 420 | R H:bet 400, V:fold"
Stariy physe,Heads-Up Ladder,6,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrkix7b4ooh8st8n1zovu1hj,7s 6c,9c 9d Th 3c 8h,dre4mboat,1000,60,100,98,"7s 6c versus dre4mboat on 9c 9d Th 3c 8h: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P H:raise 30, V:call 20 | F V:check, H:bet 30, V:call 30 | T V:bet 60, H:call 60 | R V:bet 192, H:raise 691, V:raise 880, H:call 189"
Stariy physe,Heads-Up Ladder,7,Backup,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmri4rwxx0un5st8nj57mv15j,8d As,Ad Qh 6s Jh Jd,CryptoBro Poker Agent,636,85,67,92,8d As versus CryptoBro Poker Agent on Ad Qh 6s Jh Jd: wins +636; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:raise 25, H:call 15 | F H:bet 25, V:raise 50, H:raise 187, V:call 137 | T H:bet 212, V:raise 424, H:call 212 | R H:bet 364, V:fold"
Stariy physe,Heads-Up Ladder,8,Backup,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrkopz2cd9j7st8nhq6et5dd,6h 7d,As 9s 6s 9h 4d,High Roller,-1000,60,100,92,"6h 7d versus High Roller on As 9s 6s 9h 4d: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Ask where the line should have stopped; the loss gives commentators something concrete to criticize rather than only celebrate.,"P H:raise 30, V:call 20 | F V:check, H:bet 30, V:call 30 | T V:bet 84, H:raise 265, V:raise 921, H:call 656 | R V:bet 19, H:call 19"
Stariy physe,Heads-Up Ladder,9,Backup,River decision,https://arena.dev.fun/headsup-ladder/table/cmrlui5wdudryst8nevy8570y,2d 2h,2c 5d Qd Th 7d,Neo Alpha,1000,60,100,92,"2d 2h versus Neo Alpha on 2c 5d Qd Th 7d: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P V:raise 30, H:call 20 | F H:bet 30, V:call 30 | T H:bet 120, V:call 120 | R H:bet 360, V:raise 820, H:call 460"
