player,source,clip_rank,recommended_use,category,replay_url,hero_cards,board,opponent,result,style_score,drama_score,commentary_score,highlight,why_style,commentary_hook,action_line
Stariy physe,Heads-Up Ladder,10,Backup,Value escalation,https://arena.dev.fun/headsup-ladder/table/cmrlu8kfkrhudst8nzbvcdi5l,Jd 2c,Jc Jh 3c 3s 5h,Neo Alpha,1000,31,38,40,"Jd 2c versus Neo Alpha on Jc Jh 3c 3s 5h: wins +1,000; the runout produces full house.","The pot grows in stages rather than all at once, showing how the bot converts made-hand strength into chips.","Use the street-by-street line to ask whether the next action should be aggression, control, or release.","P H:raise 30, V:raise 93, H:call 63 | F V:bet 93, H:raise 362, V:raise 907, H:call 545"
dein Joni,Heads-Up Ladder,1,Primary,Wide-range win,https://arena.dev.fun/headsup-ladder/table/cmrholjsqxvhxst8na71136hp,7s 3s,Jc 7h 5s Ks 8s,Grinder,1000,65,100,67,"7s 3s versus Grinder on Jc 7h 5s Ks 8s: wins +1,000; the wide starting hand makes the line especially revealing.",The starting cards make the range width visible and show how the bot creates value from hands others may discard.,Built-in rivalry: dein Joni versus finalist Grinder. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 30, H:call 30 | T V:bet 96, H:call 96 | R V:bet 312, H:raise 844, V:call 532"
dein Joni,Heads-Up Ladder,2,Primary,Multi-street attack,https://arena.dev.fun/headsup-ladder/table/cmrja97mh6fc8st8ne1mt6nox,Ac Ad,2s Jd 9d 8c 2h,Antge Poker Bot,1000,96,100,90,"Ac Ad versus Antge Poker Bot on 2s Jd 9d 8c 2h: wins +1,000; the multi-street line exposes the bot's commitment threshold.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Built-in rivalry: dein Joni versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:raise 90, V:call 60 | F H:bet 90, V:call 90 | T H:bet 180, V:call 180 | R H:bet 640, V:call 640"
dein Joni,Heads-Up Ladder,3,Primary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrllm0td9sc3st8ne4mx3zp9,5c 3c,5d Td 7h Th 9c,folzterac,-1000,96,100,90,"5c 3c versus folzterac on 5d Td 7h Th 9c: loses 1,000; the wide starting hand makes the line especially revealing.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: dein Joni versus finalist folzterac. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 23, V:call 23 | T H:bet 101, V:raise 409, H:call 308 | R H:bet 538, V:call 538"
dein Joni,Heads-Up Ladder,4,Secondary,Multi-street attack,https://arena.dev.fun/headsup-ladder/table/cmrhpqr3x9zhhst8nm2z8kl03,Ad As,Ac Qd Jh Kc 9d,Grinder,1000,96,100,90,"Ad As versus Grinder on Ac Qd Jh Kc 9d: wins +1,000; the multi-street line exposes the bot's commitment threshold.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Built-in rivalry: dein Joni versus finalist Grinder. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:raise 90, V:call 60 | F H:bet 153, V:call 153 | T H:bet 462, V:call 462 | R H:bet 295, V:call 295"
dein Joni,Heads-Up Ladder,5,Secondary,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmribcyr7zro1st8nbhq6rpcv,Kc Ks,5c Td 3d 2s Kd,folzterac,624,96,76,90,Kc Ks versus folzterac on 5c Td 3d 2s Kd: wins +624; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Built-in rivalry: dein Joni versus finalist folzterac. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 30, H:raise 90, V:call 60 | T V:bet 192, H:raise 504, V:call 312 | R V:check, H:bet 376, V:fold"
dein Joni,Heads-Up Ladder,6,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmriqlwjsuinlst8nmme68l2x,Kh 4h,3h Th 5h 7c Tc,Whale Alert,1000,96,69,98,"Kh 4h versus Whale Alert on 3h Th 5h 7c Tc: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P V:call 5, H:raise 30, V:call 20 | F H:bet 51, V:call 51 | T H:bet 154, V:call 154 | R H:bet 517, V:raise 765, H:call 248"
dein Joni,Heads-Up Ladder,7,Backup,River decision,https://arena.dev.fun/headsup-ladder/table/cmrlco9vzr4lnst8n2gbd61wh,5d 5s,9s 2c Qc 5h 9d,folzterac,1000,65,100,100,"5d 5s versus folzterac on 9s 2c Qc 5h 9d: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Built-in rivalry: dein Joni versus finalist folzterac. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 23, V:call 23 | T H:bet 101, V:call 101 | R H:bet 339, V:raise 846, H:call 507"
dein Joni,Heads-Up Ladder,8,Backup,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrllztf1dpitst8n90287z4m,4s Ks,3c As 6s Ac 4h,folzterac,-1000,65,100,90,"4s Ks versus folzterac on 3c As 6s Ac 4h: loses 1,000; the multi-street line exposes the bot's commitment threshold.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: dein Joni versus finalist folzterac. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 23, V:call 23 | T H:bet 53, V:raise 265, H:call 212 | R H:bet 682, V:call 682"
dein Joni,Heads-Up Ladder,9,Backup,Multi-street attack,https://arena.dev.fun/headsup-ladder/table/cmrgnuwxj8g5sst8nil31kg7z,Ad Jd,5d 6d Tc Kd Jh,Antge Poker Bot,1000,65,100,90,"Ad Jd versus Antge Poker Bot on 5d 6d Tc Kd Jh: wins +1,000; the runout produces flush.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Built-in rivalry: dein Joni versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 30, H:call 30 | T V:bet 46, H:raise 247, V:call 201 | R V:bet 600, H:raise 693, V:call 93"
dein Joni,Heads-Up Ladder,10,Backup,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmr43jkjr6v3yib6sxi46tctc,Ac Tc,Js 9c 7h 8s 3c,zero,650,96,57,90,Ac Tc versus zero on Js 9c 7h 8s 3c: wins +650; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:call 5, H:raise 21, V:call 11 | F H:bet 18, V:call 18 | T H:bet 74, V:raise 185, H:raise 611, V:call 426 | R H:bet 350, V:fold"
Antge Poker Bot,Heads-Up Ladder,1,Primary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrgb8meyngjni1x86e4kt78n,Kd Qd,Ks 4c Kc Ts 3s,dein Joni,1000,92,100,90,"Kd Qd versus dein Joni on Ks 4c Kc Ts 3s: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Built-in rivalry: Antge Poker Bot versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 30, H:raise 144, V:call 114 | T V:bet 331, H:call 331 | R V:bet 495, H:call 495"
Antge Poker Bot,Heads-Up Ladder,2,Primary,Wide-range win,https://arena.dev.fun/headsup-ladder/table/cmrhq2xytdhk6st8n9qajm9dp,Ts 9c,4s 8s Ks 2s 5c,folzterac,1000,84,100,94,"Ts 9c versus folzterac on 4s 8s Ks 2s 5c: wins +1,000; the wide starting hand makes the line especially revealing.",The starting cards make the range width visible and show how the bot creates value from hands others may discard.,Built-in rivalry: Antge Poker Bot versus finalist folzterac. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 23, V:call 23 | T H:bet 101, V:raise 409, H:call 308 | R H:bet 538, V:call 538"
Antge Poker Bot,Heads-Up Ladder,3,Primary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrhqpoq1kji0st8neuqniojn,8c 6s,9d 8s Qh Qs 7d,folzterac,-1000,98,100,100,"8c 6s versus folzterac on 9d 8s Qh Qs 7d: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: Antge Poker Bot versus finalist folzterac. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 23, V:call 23 | T H:bet 40, V:raise 226, H:call 186 | R H:bet 614, V:raise 721, H:call 107"
Antge Poker Bot,Heads-Up Ladder,4,Secondary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrgv5qa2ij71st8nxura39ts,Kc Qd,Ad 6s 2s 2c 7c,dein Joni,-1000,98,100,100,"Kc Qd versus dein Joni on Ad 6s 2s 2c 7c: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: Antge Poker Bot versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 23, V:call 23 | T H:bet 40, V:raise 217, H:call 177 | R H:bet 594, V:raise 730, H:call 136"
Antge Poker Bot,Heads-Up Ladder,5,Secondary,Multi-street attack,https://arena.dev.fun/headsup-ladder/table/cmrkkwcbx94crst8nstoso4bs,5d Jd,Js 2c 3c Jc 3d,Grinder,1000,84,100,94,"5d Jd versus Grinder on Js 2c 3c Jc 3d: wins +1,000; the runout produces full house.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Built-in rivalry: Antge Poker Bot versus finalist Grinder. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 30, V:call 30 | T H:bet 114, V:raise 462, H:call 348 | R H:bet 478, V:call 478"
Antge Poker Bot,Heads-Up Ladder,6,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrhaqqi8hftpst8ndplfa6md,9s 2d,Ts 7s As 6s 6c,folzterac,540,98,67,90,9s 2d versus folzterac on Ts 7s As 6s 6c: wins +540; the river call creates a clean value-versus-pressure decision.,"The river creates a single, legible decision point that viewers can debate before the action is revealed.",Built-in rivalry: Antge Poker Bot versus finalist folzterac. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 30, H:call 30 | T V:bet 120, H:call 120 | R V:bet 360, H:call 360"
Antge Poker Bot,Heads-Up Ladder,7,Backup,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmrgdbbvh9lw2i1x87rglzqg8,Ts 3s,8d Td Kh 8h 3d,dein Joni,307,84,69,90,Ts 3s versus dein Joni on 8d Td Kh 8h 3d: wins +307; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Built-in rivalry: Antge Poker Bot versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 23, V:raise 76, H:call 53 | T H:bet 201, V:call 201 | R H:bet 600, V:fold"
Antge Poker Bot,Heads-Up Ladder,8,Backup,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmre2gfis3t3yuxm7ec1ytqup,Qc Qs,Td 7c Ad Ts Qd,dein Joni,557,84,80,55,Qc Qs versus dein Joni on Td 7c Ad Ts Qd: wins +557; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Built-in rivalry: Antge Poker Bot versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 30, H:call 30 | T V:bet 114, H:call 114 | R V:bet 383, H:raise 826, V:fold"
Antge Poker Bot,Heads-Up Ladder,9,Backup,Wide-range win,https://arena.dev.fun/headsup-ladder/table/cmrhrkc9su7jost8nek91fena,7d 4d,5d Qd Ac Td 6s,folzterac,1000,37,100,90,"7d 4d versus folzterac on 5d Qd Ac Td 6s: wins +1,000; the wide starting hand makes the line especially revealing.",The starting cards make the range width visible and show how the bot creates value from hands others may discard.,Built-in rivalry: Antge Poker Bot versus finalist folzterac. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 30, H:call 30 | T V:bet 72, H:raise 336, V:call 264 | R V:bet 396, H:raise 604, V:call 208"
Antge Poker Bot,Heads-Up Ladder,10,Backup,Value escalation,https://arena.dev.fun/headsup-ladder/table/cmrlb51n6c30sst8neh8ybcfa,Kh Th,8h 6s 9c 7s Kc,Grinder,1000,84,41,71,"Kh Th versus Grinder on 8h 6s 9c 7s Kc: wins +1,000; the runout produces straight.","The pot grows in stages rather than all at once, showing how the bot converts made-hand strength into chips.",Built-in rivalry: Antge Poker Bot versus finalist Grinder. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 30, H:call 30 | T V:bet 120, H:raise 420, V:raise 940, H:call 520"
Grinder,Heads-Up Ladder,1,Primary,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmrkynrkuyrt7st8nrjv30qf7,9c 8s,8d 6h 4h 6c 3h,Antge Poker Bot,279,96,86,82,9c 8s versus Antge Poker Bot on 8d 6h 4h 6c 3h: wins +279; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Built-in rivalry: Grinder versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 23, H:call 23 | T V:bet 40, H:raise 226, V:call 186 | R V:check, H:bet 558, V:fold"
Grinder,Heads-Up Ladder,2,Primary,River decision,https://arena.dev.fun/headsup-ladder/table/cmri7aqj1s0h0st8nwh2apsu2,2h 7h,Kh Jh 3s 4h 9h,Skyler,1000,59,84,82,"2h 7h versus Skyler on Kh Jh 3s 4h 9h: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P H:raise 30, V:call 20 | F V:bet 30, H:call 30 | T V:bet 72, H:raise 336, V:call 264 | R V:bet 604, H:call 604"
Grinder,Heads-Up Ladder,3,Primary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrholjsqxvhxst8na71136hp,9c Td,Jc 7h 5s Ks 8s,dein Joni,-1000,82,100,98,"9c Td versus dein Joni on Jc 7h 5s Ks 8s: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: Grinder versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 30, V:call 30 | T H:bet 96, V:call 96 | R H:bet 312, V:raise 844, H:call 532"
Grinder,Heads-Up Ladder,4,Secondary,Multi-street attack,https://arena.dev.fun/headsup-ladder/table/cmrgxhwhy7zesst8nu0x5wck9,Ah Ks,Jh Kh Qh Tc 6s,Whale Alert,1000,71,84,92,"Ah Ks versus Whale Alert on Jh Kh Qh Tc 6s: wins +1,000; the runout produces straight.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:call 5, H:raise 40, V:call 30 | F H:bet 40, V:raise 220, H:call 180 | T H:bet 520, V:call 520 | R H:bet 220, V:call 220"
Grinder,Heads-Up Ladder,5,Secondary,Multi-street attack,https://arena.dev.fun/headsup-ladder/table/cmrgyqiebl0bnst8n3rq1m1dg,Jc 5s,5h 3c Jh Js 9c,Whale Alert,1000,71,84,82,"Jc 5s versus Whale Alert on 5h 3c Jh Js 9c: wins +1,000; the runout produces full house.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P H:raise 30, V:call 20 | F V:check, H:bet 30, V:call 30 | T V:bet 48, H:raise 264, V:call 216 | R V:bet 291, H:raise 676, V:call 385"
Grinder,Heads-Up Ladder,6,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrl8piu7orutst8nzk9yi3nn,Qs 2s,Td Qc 3c Qd Th,Antge Poker Bot,1000,47,100,100,"Qs 2s versus Antge Poker Bot on Td Qc 3c Qd Th: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Built-in rivalry: Grinder versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 30, V:call 30 | T H:bet 120, V:call 120 | R H:bet 360, V:raise 820, H:call 460"
Grinder,Heads-Up Ladder,7,Backup,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmrbsis49nb6k5mevdwal85sm,Kh 7h,3h Ks 9d 7c 4c,Dev,886,90,71,57,Kh 7h versus Dev on 3h Ks 9d 7c 4c: wins +886; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P H:raise 35, V:call 25 | F V:bet 28, H:raise 96, V:call 68 | T V:bet 105, H:raise 361, V:call 256 | R V:bet 394, H:raise 508, V:fold"
Grinder,Heads-Up Ladder,8,Backup,Multi-street attack,https://arena.dev.fun/headsup-ladder/table/cmrkl5qcrbwekst8ngfjlzjkn,2h 2d,Ah Ac As 8h Jh,Antge Poker Bot,1000,47,100,92,"2h 2d versus Antge Poker Bot on Ah Ac As 8h Jh: wins +1,000; the runout produces full house.","Aggression continues across streets, making the bot's commitment and sizing pattern easy to narrate.",Built-in rivalry: Grinder versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 51, H:raise 213, V:call 162 | T V:bet 462, H:call 462 | R V:check, H:bet 295, V:call 295"
Grinder,Heads-Up Ladder,9,Backup,Wide-range win,https://arena.dev.fun/headsup-ladder/table/cmr8fb10vvd585mevpr6tochx,8c 9h,4h Ah 8s 6h 8h,Raven,460,96,35,82,8c 9h versus Raven on 4h Ah 8s 6h 8h: wins +460; the wide starting hand makes the line especially revealing.,The starting cards make the range width visible and show how the bot creates value from hands others may discard.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:call 5, H:raise 35, V:call 25 | F H:bet 45, V:call 45 | T H:bet 112, V:call 112 | R H:bet 268, V:call 268"
Grinder,Heads-Up Ladder,10,Backup,Downside review,https://arena.dev.fun/headsup-ladder/table/cmri7cxsosngust8nwvqsaxg0,Jd 6h,Kh Jh 3s 4h 9h,Skyler,-1000,47,84,57,"Jd 6h versus Skyler on Kh Jh 3s 4h 9h: loses 1,000; the multi-street line exposes the bot's commitment threshold.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Ask where the line should have stopped; the loss gives commentators something concrete to criticize rather than only celebrate.,"P V:raise 30, H:call 20 | F H:bet 30, V:call 30 | T H:bet 72, V:raise 336, H:call 264 | R H:bet 604, V:call 604"
folzterac,Heads-Up Ladder,1,Primary,Bluff-catch,https://arena.dev.fun/headsup-ladder/table/cmrgw50n3sw9wst8nru5nmcux,8d Qd,Td 2d Qc 7h Kh,Đỗ Thánh,1000,100,84,52,"8d Qd versus Đỗ Thánh on Td 2d Qc 7h Kh: wins +1,000; the river call creates a clean bluff-catching decision.",The hand exposes its calling threshold and willingness to let the opponent keep representing strength.,Pause before the river call and ask whether the opponent is value-heavy or bluff-heavy.,"P H:raise 30, V:raise 90, H:call 60 | F V:bet 121, H:call 121 | T V:bet 320, H:call 320 | R V:bet 469, H:call 469"
folzterac,Heads-Up Ladder,2,Primary,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmrl21wumuwiwst8nxcq05v1q,Ac Ah,7c 8d Js 2h 6c,dein Joni,725,78,86,90,Ac Ah versus dein Joni on 7c 8d Js 2h 6c: wins +725; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Built-in rivalry: folzterac versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:raise 90, H:raise 234, V:call 144 | F V:bet 178, H:call 178 | T V:bet 313, H:call 313 | R V:check, H:bet 275, V:fold"
folzterac,Heads-Up Ladder,3,Primary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrhrkc9su7jost8nek91fena,Qs 4h,5d Qd Ac Td 6s,Antge Poker Bot,-1000,98,100,100,"Qs 4h versus Antge Poker Bot on 5d Qd Ac Td 6s: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Built-in rivalry: folzterac versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P V:raise 30, H:call 20 | F H:bet 30, V:call 30 | T H:bet 72, V:raise 336, H:call 264 | R H:bet 396, V:raise 604, H:call 208"
folzterac,Heads-Up Ladder,4,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrllztf1dpitst8n90287z4m,Ad 4d,3c As 6s Ac 4h,dein Joni,1000,92,100,98,"Ad 4d versus dein Joni on 3c As 6s Ac 4h: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Built-in rivalry: folzterac versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 23, H:call 23 | T V:bet 53, H:raise 265, V:call 212 | R V:bet 682, H:call 682"
folzterac,Heads-Up Ladder,5,Secondary,River decision,https://arena.dev.fun/headsup-ladder/table/cmrlbizaxftdfst8nv4jvzsuc,7d 3s,3h Qd 6d 7h 3c,dein Joni,1000,92,100,98,"7d 3s versus dein Joni on 3h Qd 6d 7h 3c: wins +1,000; the river call creates a clean value-versus-pressure decision.","The river creates a single, legible decision point that viewers can debate before the action is revealed.",Built-in rivalry: folzterac versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 23, H:call 23 | T V:bet 101, H:raise 409, V:call 308 | R V:bet 538, H:call 538"
folzterac,Heads-Up Ladder,6,Secondary,Downside review,https://arena.dev.fun/headsup-ladder/table/cmrh1jhznhx3sst8nedquce1a,9s Ts,Kc Td 8h 4d Qs,Warden,-1000,92,84,92,"9s Ts versus Warden on Kc Td 8h 4d Qs: loses 1,000; the river call creates a clean value-versus-pressure decision.",This is the useful counterexample: it shows where the same style can become overcommitment or an expensive refusal to stop.,Ask where the line should have stopped; the loss gives commentators something concrete to criticize rather than only celebrate.,"P V:call 5, H:raise 40, V:call 30 | F H:bet 40, V:call 40 | T H:bet 96, V:raise 496, H:call 400 | R H:check, V:bet 424, H:call 424"
folzterac,Heads-Up Ladder,7,Backup,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmre7o1z27gkuuxm76ucxqfcr,6d 6c,Tc 8c 7h 3h 9s,xbyteid,900,78,76,90,6d 6c versus xbyteid on Tc 8c 7h 3h 9s: wins +900; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P V:raise 30, H:call 20 | F H:bet 30, V:call 30 | T H:bet 60, V:raise 120, H:call 60 | R H:bet 360, V:raise 720, H:raise 820, V:fold"
folzterac,Heads-Up Ladder,8,Backup,Pressure win,https://arena.dev.fun/headsup-ladder/table/cmrgsg3czo4pyst8nk8zemte9,5h As,6h Ah 2d 3s 3c,Bright,792,82,68,80,5h As versus Bright on 6h Ah 2d 3s 3c: wins +792; sustained pressure wins without showdown.,This is initiative without needing showdown—the clearest way to see how its pressure changes opponent behavior.,Hold on the final bet before revealing the response; the audience can judge whether the sizing is value or pressure.,"P H:raise 30, V:raise 50, H:call 20 | F V:bet 35, H:call 35 | T V:bet 59, H:call 59 | R V:bet 100, H:raise 260, V:raise 648, H:raise 856, V:fold"
folzterac,Heads-Up Ladder,9,Backup,Wide-range win,https://arena.dev.fun/headsup-ladder/table/cmrhqpoq1kji0st8neuqniojn,9c Th,9d 8s Qh Qs 7d,Antge Poker Bot,1000,56,100,80,"9c Th versus Antge Poker Bot on 9d 8s Qh Qs 7d: wins +1,000; the wide starting hand makes the line especially revealing.",The starting cards make the range width visible and show how the bot creates value from hands others may discard.,Built-in rivalry: folzterac versus finalist Antge Poker Bot. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:call 20 | F V:bet 23, H:call 23 | T V:bet 40, H:raise 226, V:call 186 | R V:bet 614, H:raise 721, V:call 107"
folzterac,Heads-Up Ladder,10,Backup,Value escalation,https://arena.dev.fun/headsup-ladder/table/cmrll7i7g5w9dst8ndhsgde35,Qd Kd,Qs 9s Tc Jh 4d,dein Joni,1000,78,62,80,"Qd Kd versus dein Joni on Qs 9s Tc Jh 4d: wins +1,000; the runout produces straight.","The pot grows in stages rather than all at once, showing how the bot converts made-hand strength into chips.",Built-in rivalry: folzterac versus finalist dein Joni. Pause before the decisive action and let commentary pick a side.,"P H:raise 30, V:raise 90, H:raise 234, V:call 144 | F V:bet 398, H:call 398 | T V:bet 368, H:call 368"
